ID,Name,Team ID,Points per Game,Rebounds per Game,Assists per Game
285,Larry Nance Jr.,18,8.5,4.3,1.6
286,Cason Wallace,1,8.4,3.4,2.5
287,Jaylen Nowell,15,8.4,2.5,2.3
288,Bruce Brown,25,8.4,3.8,1.6
289,Keon Ellis,14,8.3,2.7,1.5
290,Dalano Banton,29,8.3,2,2.4
291,Brandon Williams,5,8.3,1.8,2.3
292,Brandon Clarke,23,8.3,5.1,1
293,Jalen Smith,21,8.2,5.6,1
294,Bruce Brown,15,8.2,4.2,2.4
295,Taurean Prince,2,8.2,3.6,1.9
296,Mike Conley,6,8.2,2.6,4.5
297,Quinten Post,16,8.1,3.5,1.3
298,Peyton Watson,3,8.1,3.4,1.4
299,Orlando Robinson,25,8.1,5.9,1.9
300,Tyson Etienne,19,7.9,1.3,1.7
301,Day'Ron Sharpe,19,7.9,6.6,1.8
302,Kevin Huerter,14,7.9,2.8,1.7
303,Dorian Finney-Smith,4,7.9,3.6,1.4
304,Jalen Hood-Schifino,9,7.8,2,2.8
305,KJ Simpson,13,7.8,3,3.1
306,Cody Martin,13,7.8,4.5,2.3
307,Karlo Matkovic,15,7.7,5,1.1
308,Oscar Tshiebwe,30,7.6,8.7,0.6
309,Lonzo Ball,21,7.6,3.4,3.3
310,Matisse Thybulle,29,7.5,3.5,1.9
311,Garrison Mathews,18,7.5,1.9,1.3
312,Vasilije Micic,13,7.5,2.4,3.5
313,Cole Swider,25,7.4,3.1,0.3
314,A.J. Green,2,7.4,2.4,1.5
315,Josh Green,13,7.4,2.5,1.6
316,Shake Milton,19,7.4,1.9,2.4
317,Richaun Holmes,27,7.4,5.7,1.4
318,Damion Baugh,13,7.3,3.3,3.7
319,Ricky Council IV,9,7.3,2.9,1.3
320,Jake LaRavia,23,7.3,4.4,2.8
321,Andre Drummond,9,7.3,7.8,0.9
322,Alec Burks,22,7.3,2.5,1.1
323,Colin Castleton,25,7.2,6.9,1.6
324,Tristan da Silva,12,7.2,3.3,1.5
325,Nae'Qwan Tomlin,20,7.2,4.2,0.4
326,GG Jackson,23,7.2,3.2,1
327,Daeqwon Plowden,18,7.2,1.8,0.3
328,Bones Hyland,24,7.2,1.2,1.4
329,Vit Krejci,18,7.2,2.7,2.6
330,Sam Merrill,20,7.2,2.2,1.5
331,Goga Bitadze,12,7.2,6.6,2
332,Jamison Battle,25,7.1,2.7,0.9
333,Jamal Shead,25,7.1,1.5,4.2
334,Alex Caruso,1,7.1,2.9,2.5
335,Kelly Olynyk,25,7.1,3.7,2.3
336,Jaylen Sims,13,7,1,2
337,Marcus Garrett,13,7,1.5,3.3
338,Isaiah Jackson,28,7,5.6,1
339,Jeff Dowtin Jr.,9,7,1.5,1.9
340,Ryan Dunn,8,6.9,3.6,0.8
341,Antonio Reeves,15,6.9,1.4,0.9
342,Jay Huff,23,6.9,2,0.6
343,Jared Butler,27,6.9,1.3,2.6
344,Chuma Okeke,9,6.9,6.1,1.9
345,Torrey Craig,21,6.9,2.8,0.6
346,Thomas Bryant,28,6.9,3.9,0.9
347,Cameron Payne,11,6.9,1.4,2.8
348,Jaxson Hayes,4,6.8,4.8,1
349,Bol Bol,8,6.8,2.9,0.6
350,Eric Gordon,9,6.8,1.2,1.7
351,Marcus Bagley,9,6.7,7,1
352,DaQuan Jeffries,13,6.7,2.9,1.1
353,Kyle Anderson,22,6.7,3.8,2.6
354,Ajay Mitchell,1,6.6,1.9,1.8
355,Vince Williams Jr.,23,6.6,3.6,2
356,Trayce Jackson-Davis,16,6.6,5,1.7
357,Marcus Sasser,10,6.6,1.2,2.3
358,Precious Achiuwa,11,6.6,5.6,1
359,Donovan Clingan,29,6.5,7.9,1.1
360,Talen Horton-Tucker,21,6.5,1.7,1.4
361,Haywood Highsmith,22,6.5,3.4,1.5
362,Gary Payton II,16,6.5,3,1.3
363,Trey Lyles,14,6.5,4.6,1.2
364,Seth Curry,13,6.5,1.7,0.9
365,Ronald Holland II,10,6.4,2.7,1
366,KJ Martin,9,6.4,3,0.8
367,Gabe Vincent,4,6.4,1.3,1.4
368,Kris Dunn,24,6.4,3.4,2.8
369,Dru Smith,22,6.3,2.6,1.6
370,Sandro Mamukelashvili,17,6.3,3.1,0.8
371,Davion Mitchell,25,6.3,2,4.6
372,Jeremiah Robinson-Earl,15,6.3,4.8,1.3
373,KJ Martin,30,6.3,2.8,1.5
374,Kenrich Williams,1,6.3,3.5,1.4
375,Jonathan Mogbo,25,6.2,4.9,2.3
376,Ryan Rollins,2,6.2,1.9,1.9
377,Ben Simmons,19,6.2,5.2,6.9
378,Jarace Walker,28,6.1,3.1,1.5
379,Jake LaRavia,14,6.1,2.8,1.3
380,Isaac Okoro,20,6.1,2.4,1.2
381,Isaiah Mobley,9,6,4,5
382,Colin Castleton,9,6,7.4,2
383,N'Faly Dante,26,6,5.3,0.5
384,Mouhamed Gueye,18,6,4.2,0.8
385,David Roddy,9,6,3,1
386,Isaiah Wong,13,6,1.6,1.4
387,Isaiah Stewart,10,6,5.5,1.7
388,James Wiseman,28,6,1,0
389,Terance Mann,24,6,2.9,1.6
390,Josh Okogie,8,6,2.9,0.6
391,Luke Kornet,7,6,5.3,1.6
392,Tidjane Salaun,13,5.9,4.7,1.2
393,Simone Fontecchio,10,5.9,2.9,0.9
394,Collin Gillespie,8,5.9,2.4,2.4
395,Jaylin Williams,1,5.9,5.6,2.6
396,Jaylen Martin,27,5.8,3.4,1.3
