Name,Team ID,Points per Game,Rebounds per Game,Assists per Game
Duop Reath,29,4.2,2,0.6
Dominick Barlow,18,4.2,2.4,0.5
Kris Murray,29,4.2,2.6,1
Kessler Edwards,5,4.2,2.9,1.1
Jordan Miller,24,4.1,1.6,0.9
Jaylen Clark,6,4.1,1.3,0.7
Caleb Houstan,12,4.1,1.3,0.6
Gui Santos,16,4.1,3.1,1.4
Paul Reed,10,4.1,2.7,1
Jalen Pickett,3,4.1,1.4,2.2
Jarred Vanderbilt,4,4.1,5.1,1.1
Thomas Bryant,22,4.1,3.2,0.4
Ron Harper Jr.,10,4,7,2
Malachi Flynn,13,4,1.8,1.8
MarJon Beauchamp,24,4,1,0.7
Josh Richardson,22,4,1.5,1.5
Nicolas Batum,24,4,2.8,1.1
JT Thor,27,3.9,3.8,0.5
Olivier-Maxence Prosper,5,3.9,2.4,0.8
Shake Milton,4,3.9,1.8,1.3
Steven Adams,26,3.9,5.6,1.1
Kyle Lowry,9,3.9,1.9,2.7
Pete Nance,2,3.8,1.8,1.2
Branden Carlson,1,3.8,1.7,0.4
Devin Carter,14,3.8,2.1,1.1
Ousmane Dieng,1,3.8,2.2,0.8
Jaden Springer,30,3.8,2,1.4
Cody Martin,8,3.7,3.4,1.1
Jackson Rowe,16,3.7,1.8,0.7
Craig Porter,20,3.7,1.3,1.4
Emoni Bates,20,3.7,0.7,0.8
Blake Wesley,17,3.7,1.1,2
DeAndre Jordan,3,3.7,5.1,0.9
Jaylon Tyson,20,3.6,2,0.9
Baylor Scheierman,7,3.6,2.1,1.1
Jae'Sean Tate,26,3.6,2.3,0.9
Marvin Bagley III,23,3.6,2.3,0.3
Luka Garza,6,3.5,1.4,0.3
Dario Saric,3,3.5,3.1,1.4
Doug McDermott,14,3.5,0.5,0.2
Cory Joseph,12,3.5,1.5,1.4
Jamaree Bouyea,2,3.4,1,2
Isaac Jones,14,3.4,1.4,0.3
Andre Jackson Jr.,2,3.4,2.7,1.2
Lindy Waters III,10,3.4,1,0.7
Bruno Fernando,25,3.4,3,1.1
Kylor Kelley,15,3.3,6,1
Javonte Green,20,3.3,2.2,0.6
Nate Williams,26,3.3,0.7,0.5
Kevin Knox II,16,3.3,1.2,0.4
Damion Lee,8,3.3,0.8,0.4
Elijah Harkless,30,3.2,2.1,0.8
