ID,Name,Team,Current?,Position,Age,Games Played,Minutes/Game,Usage %,Turnover %,Free Throw Attempts,Free Throw %,2-pt Attempts,2-Point %,3-pt Attempts,3-Point %,Effective FG %,True Shooting %,Points per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turovers per Game,Points + Rebounds,Points + Assists,Points + Rebounds + Assists,Versatility Index,Offensive Rating,Defensive Rating,Team ID,,,Unique team IDs,
77,O.G. Anunoby,Nyk,*,F-G,27.7,74,36.6,19.7,9,226,0.81,567,0.561,460,0.372,0.559,0.591,18,4.8,2.2,1.5,0.9,1.4,22.8,20.2,25.1,6.3,118.1,111.7,11,,,,
78,Jimmy Butler,Gol,*,F,35.6,30,32.7,20.6,11.6,231,0.87,266,0.526,68,0.279,0.504,0.617,17.9,5.5,5.9,1.7,0.3,1.5,23.4,23.9,29.4,10.2,135.4,113.2,16,,,,
79,Jaden Ivey,Det,*,G,23.2,30,29.9,26,17.7,116,0.733,259,0.49,154,0.409,0.536,0.569,17.6,4.1,4,0.9,0.4,3,21.7,21.6,25.7,8.8,107.4,110.9,10,,,,
80,Mikal Bridges,Nyk,*,G-F,28.6,82,37,19.6,10,118,0.814,720,0.594,463,0.354,0.57,0.585,17.6,3.2,3.7,0.9,0.5,1.6,20.8,21.3,24.5,6.4,116.5,116.2,11,,,,
81,Andrew Wiggins,Gol,,F,30.1,43,30.1,23.5,8.7,179,0.777,340,0.491,248,0.379,0.524,0.566,17.6,4.6,2.3,0.9,0.8,1.3,22.1,19.9,24.5,7.6,115.6,111.5,16,,,,
82,Dejounte Murray,Nor,*,G,28.6,31,32.7,27.3,17.5,124,0.823,320,0.444,174,0.299,0.445,0.494,17.5,6.5,7.4,2,0.4,3.4,23.9,24.8,31.3,11.5,101.3,114.6,15,,,,
83,Malik Monk,Sac,*,G,27.2,65,31.6,24.6,14.5,178,0.865,511,0.534,428,0.325,0.513,0.549,17.2,3.8,5.6,0.9,0.6,2.4,21,22.8,26.5,9.1,109.9,112.6,14,,,,
84,Immanuel Quickley,Tor,*,G,25.8,33,27.8,25.1,11.7,128,0.867,213,0.465,225,0.378,0.517,0.57,17.1,3.5,5.8,0.7,0.1,1.8,20.6,22.9,26.4,10.1,119.1,113.5,25,,,,
85,Jacob Toppin,Atl,*,F,24.9,1,26.6,20.1,7.7,0,0,4,0.25,8,0.625,0.708,0.708,17,4,2,0,0,1,21,19,23,7.7,129.9,123,18,,,,
86,Bradley Beal,Pho,*,G,31.8,53,32.1,22.1,12.5,137,0.803,430,0.565,264,0.386,0.571,0.598,17,3.3,3.7,1.1,0.5,1.9,20.4,20.7,24,7.4,114.4,115.7,8,,,,
87,Jimmy Butler,Mia,,F,35.6,25,30.6,21.1,10.2,161,0.801,227,0.568,36,0.361,0.565,0.638,17,5.2,4.8,1.1,0.4,1.2,22.3,21.8,27.1,9.8,135.9,114.4,22,,,,
88,Deni Avdija,Por,*,F,24.3,72,30,23.2,18.8,372,0.78,502,0.552,342,0.365,0.55,0.605,16.9,7.3,3.9,1,0.5,2.7,24.2,20.8,28.1,10.4,115.7,108.7,29,,,,
89,Keyonte George,Uta,*,G,21.4,67,31.5,24.3,16.6,285,0.818,412,0.449,507,0.343,0.485,0.539,16.8,3.8,5.6,0.7,0.1,2.7,20.6,22.4,26.2,9,108.6,119.8,30,,,,
90,Ivica Zubac,Lac,*,C,28.1,80,32.8,19.5,11.9,236,0.661,942,0.628,0,0,0.628,0.641,16.8,12.6,2.7,0.7,1.1,1.6,29.4,19.4,32.1,10.1,128.8,104.7,24,,,,
91,Derrick White,Bos,*,G,30.8,76,33.9,19.8,12,161,0.839,268,0.593,691,0.384,0.58,0.606,16.4,4.5,4.8,0.9,1.1,1.7,20.9,21.2,25.7,8.3,123,110,7,,,,
92,Devin Vassell,San,*,G-F,24.6,64,31,22.1,9,120,0.792,460,0.513,429,0.368,0.532,0.553,16.3,4,2.9,1.3,0.5,1.4,20.3,19.1,23.1,7.4,109.1,115.5,17,,,,
93,Malik Beasley,Det,*,G,28.4,82,27.8,22.5,7.2,140,0.679,305,0.466,766,0.416,0.579,0.59,16.3,2.6,1.7,0.9,0.1,1,18.9,18,20.6,6,116.1,113.7,10,,,,
94,Jalen Suggs,Orl,*,G,23.9,35,28.6,27.5,17.5,110,0.882,239,0.506,242,0.314,0.489,0.536,16.2,4,3.7,1.5,0.9,2.9,20.2,19.9,23.9,8.7,101,102.7,12,,,,
95,Jordan Clarkson,Uta,*,G,32.9,37,26,27.8,14.9,143,0.797,261,0.448,231,0.364,0.494,0.541,16.2,3.2,3.7,0.8,0.2,2.3,19.4,19.9,23.1,8.9,107,119.3,30,,,,
96,Paul George,Phi,*,F,35,41,32.5,23.5,15.7,97,0.814,302,0.493,268,0.358,0.514,0.543,16.2,5.3,4.3,1.8,0.5,2.6,21.6,20.6,25.9,8.8,104.3,112.2,9,,,,
97,Bennedict Mathurin,Ind,*,G-F,22.8,72,29.9,22.8,13.7,332,0.831,565,0.519,288,0.34,0.516,0.579,16.1,5.3,1.9,0.7,0.3,1.9,21.4,17.9,23.3,7.3,110.2,111.2,28,,,,
98,Myles Turner,Ind,*,C-F,29.1,72,30.2,20.7,13.2,238,0.773,417,0.561,394,0.396,0.577,0.612,15.6,6.5,1.5,0.8,2,1.7,22.1,17.1,23.6,7.1,112.9,108.8,28,,,,
